,Name,Price,Categories,Images
0,Lounge Suites,"R29,999",Skylifestyles,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/982/3473982/170706162033_Lisza2.jpg"
1,John Legend handsigned Guitar,"R75,000",You Save,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/640/3349640/210829231756_Tv1.png"
2,Tickets To Ride Europe,R700,NANI555,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/632/2648632/211017225942_DSCN0484%20%282%29.jpg"
3,"Wireless Earbuds With Power Bank. Compatible With Android, iOS, Windows & Mac OS. Bluetooth 5.0","R8,999",Dhali store,"https://img.bidorbuy.co.za/image/fetch/dpr_1.0,f_auto,t_btbnx/https://target.scene7.com/is/image/Target/GUEST_49d74707-27f5-4bb0-b282-e35e6245fa20%3Fwid=488%26hei=488%26fmt=pjpeg"
4,"i12 Wireless Earphones. Compatible With Android, iOS, Windows & Mac OS. Bluetooth 5.0","R12,000",You Save,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/640/3349640/211107225054_earpeds.jpg"
5,Vivid Blue Tanzanite,"R48,999",You Save,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/640/3349640/211110203647_ipods.jpg"
6,R1000 bobBucks Voucher,"R38,999",NANI555,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/632/2648632/211017235253_DSCN0432%20%282%29.jpg"
7,Chanel 9ct white gold and diamond Broad Band Ring,"R8,000",bobBucks,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/304/2469304/200107125444_1000.png"
8,Microsoft Office 2021,,A Bargain online,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/421/314421/200116133345_PS3%20160gig%2CNarnia_CC%20ring%20014.jpg"
9,Frederique Constant FC-265B3C6 Persuasion Swiss Moonphase Calendar Mens Watch with black dial,,Intouchsoft,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/533/4610533/211018090350_Office2021.png"
10,Michel Herbelin 200m  white face Newport Trophy men's watch,,A Bargain online,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/421/314421/200526125228_watches%20fred%20and%20michel%20etc%20101.jpg"
11,Microsoft Windows 10 Pro,,A Bargain online,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/421/314421/200526130728_watches%20fred%20and%20michel%20etc%20109.jpg"
12,R25 bobBucks Voucher,,mySoftwareShop,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/885/4629885/210409113828_200824131653_Windows-10-Professional.png"
13,R50 bobBucks voucher,,bobBucks,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/304/2469304/200107125444_25.png"
14,R100 bobBucks Voucher,,bobBucks,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/304/2469304/200107125444_50.png"
15,R250 bobBucks Voucher,,bobBucks,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/304/2469304/200107125444_100.png"
16,RARE Zippo Copper Project Z Series 2002 Euro,,bobBucks,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/304/2469304/200107125444_250.png"
17,Bluey Family Home Playset with poseable Figure,,RyaMat2531,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/953/4795953/211018133213_IMG-6812.jpg"
18,"Antigue - Circa 1911 Pegasus Vacuum Oil Company, Fore court wooden cabinet. Rare !!!",,GenB Health,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/124/3133124/211018142216_81hy9Ynp4OL._AC_SL1500_.jpg"
19,Special Pariz U-shape lounge suite,,DustyTreasures,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/794/3650794/211018110734_20211018_105307.jpg"
20,Lounge Suites Special,,Skylifestyles,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/982/3473982/190625152846_Pariz%20U%20shape3.jpg"
21,Windows 10,,Skylifestyles,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/982/3473982/181005134706_Pariz.jpg"
22,Microsoft Office 2019 Professional | RETAIL ONLINE ACTIVATION |  | TRUSTED SELLER | 32 and 64 Bit,,MacSell,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/790/2461790/211118111453_Windows%2010%20Windows%2010%20Windows%2010.png"
23,,,i-Tech Software,"https://img.bidorbuy.co.za/image/upload/dpr_1.0,f_auto,t_btbnx/user_images/411/2704411/200303223817_9883905.jpg"
