,Title,Rating
0,PS4 1TB slim/Horizon Zero Dawn CE/GT Sport II/Ratchet &Clank/PS+3M  PEGI Rating: Ages 16 and Over,PS4 1TB slim/Horizon Zero Dawn CE/GT Sport II/Ratchet &Clank/PS+3M
1,Capcom Street Fighter V - PlayStation 4 Standard Edition,Capcom Street Fighter V - PlayStation 4 Standard Edition
2,Sony Dualshock 4 Wireless Controller for Playstation 4 - Black V2,Sony Dualshock 4 Wireless Controller for Playstation 4 - Black V2
3,Rs.1000 Sony PlayStation Network Wallet Top-Up (Email Delivery in 1 hour- Digital Voucher Code)  PEGI Rating: Ages 3 and Over,Rs.1000 Sony PlayStation Network Wallet Top-Up (Email Delivery in 1 hour- Digital Voucher Code)
4,Sony PlayStation Plus: 12 Month Membership  PEGI Rating: Ages 7 and Over,Sony PlayStation Plus: 12 Month Membership
5,PlayStation Plus: 1 Month Membership Card (Email Delivery in 1 hour- Digital Voucher Code)  PEGI Rating: Ages 3 and Over,PlayStation Plus: 1 Month Membership Card (Email Delivery in 1 hour- Digital Voucher Code)
6,Rs.500 Sony PlayStation Network Wallet Top-Up (Email Delivery in 1 hour- Digital Voucher Code)  PEGI Rating: Ages 3 and Over,Rs.500 Sony PlayStation Network Wallet Top-Up (Email Delivery in 1 hour- Digital Voucher Code)
7,PlayStation -PS4 WALLET TOP- UP 2000 IND (PS4)  PEGI Rating: Ages 3 and Over,PlayStation -PS4 WALLET TOP- UP 2000 IND (PS4)
8,Rs.2500 Sony PlayStation Network Wallet Top-Up ( Email Delivery in 1 hour- Digital Voucher Code)  PEGI Rating: Ages 3 and Over,Rs.2500 Sony PlayStation Network Wallet Top-Up ( Email Delivery in 1 hour- Digital Voucher Code)
9,AmazonBasics PlayStation 4 Controller Charging Cable,AmazonBasics PlayStation 4 Controller Charging Cable
10,Rs.1500 Sony PlayStation Network Wallet Top-Up (Email Delivery in 1 hour- Digital Voucher Code)  PEGI Rating: Ages 3 and Over,Rs.1500 Sony PlayStation Network Wallet Top-Up (Email Delivery in 1 hour- Digital Voucher Code)
11,"Logitech G 331 6 mm Wireless Gaming Headset with Flip-to-Mute Mic for Playstation 4, Xbox One and Nintendo Switch (Black)","Logitech G 331 6 mm Wireless Gaming Headset with Flip-to-Mute Mic for Playstation 4, Xbox One and Nintendo Switch (Black)"
12,Rs.2000 Sony PlayStation Network Wallet Top-Up (Email Delivery in 1 hour- Digital Voucher Code),Rs.2000 Sony PlayStation Network Wallet Top-Up (Email Delivery in 1 hour- Digital Voucher Code)
13,Rs.4500 Sony PlayStation Network Wallet Top-Up (Email Delivery in 1 hour- Digital Voucher Code)  PEGI Rating: Ages 3 and Over,Rs.4500 Sony PlayStation Network Wallet Top-Up (Email Delivery in 1 hour- Digital Voucher Code)
14,Rs.3000 Sony PlayStation Network Wallet Top-Up (Email Delivery in 1 hour- Digital Voucher Code)  PEGI Rating: Ages 3 and Over,Rs.3000 Sony PlayStation Network Wallet Top-Up (Email Delivery in 1 hour- Digital Voucher Code)
15,Rs.4000 Sony PlayStation Network Wallet Top-Up (Email Delivery in 1 hour- Digital Voucher Code)  PEGI Rating: Ages 3 and Over,Rs.4000 Sony PlayStation Network Wallet Top-Up (Email Delivery in 1 hour- Digital Voucher Code)
